customer_id,strategy_date
C002690,2026-04-15
C003040,2026-04-15
C000656,2026-04-15
C007135,2026-04-15
C006415,2026-04-15
C003934,2026-04-15
C001220,2026-04-15
C004341,2026-04-15
C004859,2026-04-15
C004140,2026-04-15
C000036,2026-04-15
C005368,2026-04-15
C006012,2026-04-15
C000453,2026-04-15
C001793,2026-04-15
C000158,2026-04-15
C007614,2026-04-15
C001786,2026-04-15
C006253,2026-04-15
C004241,2026-04-15
C006606,2026-04-15
C007414,2026-04-15
C003105,2026-04-15
C006545,2026-04-15
C000391,2026-04-15
C003446,2026-04-15
C002925,2026-04-15
C005333,2026-04-15
C001688,2026-04-15
C003064,2026-04-15
C005168,2026-04-15
C003356,2026-04-15
C000386,2026-04-15
C007497,2026-04-15
C000109,2026-04-15
C000432,2026-04-15
C003459,2026-04-15
C004709,2026-04-15
C003026,2026-04-15
C006427,2026-04-15
C006333,2026-04-15
C003760,2026-04-15
C005739,2026-04-15
C007139,2026-04-15
C002765,2026-04-15
C001462,2026-04-15
C000543,2026-04-15
C001630,2026-04-15
C005767,2026-04-15
C001849,2026-04-15
C002681,2026-04-15
C004599,2026-04-15
C002086,2026-04-15
C005257,2026-04-15
C003521,2026-04-15
C001615,2026-04-15
C007777,2026-04-15
C002122,2026-04-15
C001402,2026-04-15
C007601,2026-04-15
C007385,2026-04-15
C000035,2026-04-15
C000252,2026-04-15
C007155,2026-04-15
C004495,2026-04-15
C005615,2026-04-15
C000357,2026-04-15
C001858,2026-04-15
C005840,2026-04-15
C005486,2026-04-15
C002948,2026-04-15
C006419,2026-04-15
C007338,2026-04-15
C002887,2026-04-15
C002504,2026-04-15
C003463,2026-04-15
C007354,2026-04-15
C006993,2026-04-15
C004459,2026-04-15
C004028,2026-04-15
C002545,2026-04-15
C007988,2026-04-15
C002508,2026-04-15
C007323,2026-04-15
C005850,2026-04-15
C004948,2026-04-15
C004796,2026-04-15
C007383,2026-04-15
C003508,2026-04-15
C006685,2026-04-15
C000650,2026-04-15
C003008,2026-04-15
C002651,2026-04-15
C003705,2026-04-15
C003324,2026-04-15
C003700,2026-04-15
C006737,2026-04-15
C006773,2026-04-15
C005474,2026-04-15
C005838,2026-04-15
C005318,2026-04-15
C004611,2026-04-15
C003279,2026-04-15
C000141,2026-04-15
C005651,2026-04-15
C004526,2026-04-15
C007991,2026-04-15
C004518,2026-04-15
C000145,2026-04-15
C000405,2026-04-15
C002259,2026-04-15
C006398,2026-04-15
C001935,2026-04-15
C002507,2026-04-15
C003999,2026-04-15
C005055,2026-04-15
C004648,2026-04-15
C006611,2026-04-15
C002426,2026-04-15
C004591,2026-04-15
C007165,2026-04-15
C002233,2026-04-15
C000839,2026-04-15
C000782,2026-04-15
C002420,2026-04-15
C006195,2026-04-15
C003953,2026-04-15
C004218,2026-04-15
C003277,2026-04-15
C002723,2026-04-15
C002387,2026-04-15
C005758,2026-04-15
C000758,2026-04-15
C007340,2026-04-15
C001069,2026-04-15
C005699,2026-04-15
C004561,2026-04-15
C005159,2026-04-15
C000726,2026-04-15
C003234,2026-04-15
C000905,2026-04-15
C001267,2026-04-15
C006943,2026-04-15
C002532,2026-04-15
C006650,2026-04-15
C000340,2026-04-15
C006831,2026-04-15
C004729,2026-04-15
C005764,2026-04-15
C005351,2026-04-15
C000603,2026-04-15
C003397,2026-04-15
C000768,2026-04-15
C005492,2026-04-15
C002410,2026-04-15
C000804,2026-04-15
C003602,2026-04-15
C002615,2026-04-15
C007699,2026-04-15
C007893,2026-04-15
C007086,2026-04-15
C001795,2026-04-15
C001152,2026-04-15
C005196,2026-04-15
C004638,2026-04-15
C002115,2026-04-15
C000019,2026-04-15
C001764,2026-04-15
C000043,2026-04-15
C005647,2026-04-15
C004558,2026-04-15
C002741,2026-04-15
C005302,2026-04-15
C007026,2026-04-15
C003018,2026-04-15
C005009,2026-04-15
C003194,2026-04-15
C007382,2026-04-15
C002986,2026-04-15
C001969,2026-04-15
C002602,2026-04-15
C006477,2026-04-15
C005326,2026-04-15
C007426,2026-04-15
C003071,2026-04-15
C005609,2026-04-15
C005167,2026-04-15
C000486,2026-04-15
C002867,2026-04-15
C006668,2026-04-15
C000795,2026-04-15
C006020,2026-04-15
C005495,2026-04-15
C002661,2026-04-15
C000047,2026-04-15
C006938,2026-04-15
C002962,2026-04-15
C005437,2026-04-15
C003479,2026-04-15
C005972,2026-04-15
C005866,2026-04-15
C005355,2026-04-15
C002012,2026-04-15
C001306,2026-04-15
C004778,2026-04-15
C004069,2026-04-15
C002168,2026-04-15
C000759,2026-04-15
C004822,2026-04-15
C005510,2026-04-15
C006088,2026-04-15
C003784,2026-04-15
C006602,2026-04-15
C000588,2026-04-15
C003418,2026-04-15
C006388,2026-04-15
C000318,2026-04-15
C001100,2026-04-15
C001114,2026-04-15
C004027,2026-04-15
C004257,2026-04-15
C000980,2026-04-15
C006042,2026-04-15
C002373,2026-04-15
C004590,2026-04-15
C001102,2026-04-15
C003470,2026-04-15
C007620,2026-04-15
C000857,2026-04-15
C007720,2026-04-15
C001380,2026-04-15
C003135,2026-04-15
C003468,2026-04-15
C005575,2026-04-15
C001758,2026-04-15
C004162,2026-04-15
C002959,2026-04-15
C006448,2026-04-15
C000885,2026-04-15
C001393,2026-04-15
C007566,2026-04-15
C001539,2026-04-15
C006133,2026-04-15
C004075,2026-04-15
C006092,2026-04-15
C000567,2026-04-15
C000301,2026-04-15
C004723,2026-04-15
C003173,2026-04-15
C001217,2026-04-15
C006022,2026-04-15
C004274,2026-04-15
C005431,2026-04-15
C006308,2026-04-15
C002404,2026-04-15
C001257,2026-04-15
C002792,2026-04-15
C001146,2026-04-15
C007344,2026-04-15
C002531,2026-04-15
C007636,2026-04-15
C002565,2026-04-15
C001258,2026-04-15
C003340,2026-04-15
C007117,2026-04-15
C004534,2026-04-15
C004892,2026-04-15
C005941,2026-04-15
C001625,2026-04-15
C000665,2026-04-15
C006242,2026-04-15
C003439,2026-04-15
C001274,2026-04-15
C000162,2026-04-15
C004243,2026-04-15
C000710,2026-04-15
C007142,2026-04-15
C001637,2026-04-15
C007436,2026-04-15
C006293,2026-04-15
C000790,2026-04-15
C002634,2026-04-15
C007461,2026-04-15
C003176,2026-04-15
C002659,2026-04-15
C004338,2026-04-15
C002492,2026-04-15
C000622,2026-04-15
C001118,2026-04-15
C004865,2026-04-15
C000708,2026-04-15
C005362,2026-04-15
C002836,2026-04-15
C004860,2026-04-15
C006412,2026-04-15
C006330,2026-04-15
C006346,2026-04-15
C006524,2026-04-15
C004594,2026-04-15
C000090,2026-04-15
C003407,2026-04-15
C001902,2026-04-15
C007793,2026-04-15
C005143,2026-04-15
C000544,2026-04-15
C003186,2026-04-15
C003137,2026-04-15
C005756,2026-04-15
C002436,2026-04-15
C005821,2026-04-15
C001330,2026-04-15
C005208,2026-04-15
C005169,2026-04-15
C000034,2026-04-15
C002188,2026-04-15
C001992,2026-04-15
C007310,2026-04-15
C006857,2026-04-15
C005382,2026-04-15
C006323,2026-04-15
C003873,2026-04-15
C004530,2026-04-15
C002208,2026-04-15
C006014,2026-04-15
C002820,2026-04-15
C007943,2026-04-15
C002755,2026-04-15
C001005,2026-04-15
C001371,2026-04-15
C007640,2026-04-15
C000969,2026-04-15
C003740,2026-04-15
C005592,2026-04-15
C006079,2026-04-15
C007076,2026-04-15
C001574,2026-04-15
C006168,2026-04-15
C002084,2026-04-15
C004586,2026-04-15
C006961,2026-04-15
C006708,2026-04-15
C000923,2026-04-15
C002402,2026-04-15
C003872,2026-04-15
C004698,2026-04-15
C006674,2026-04-15
C000899,2026-04-15
C007233,2026-04-15
C003880,2026-04-15
C006841,2026-04-15
C001097,2026-04-15
C004836,2026-04-15
C000083,2026-04-15
C003608,2026-04-15
C007567,2026-04-15
C005514,2026-04-15
C002853,2026-04-15
C001725,2026-04-15
C005256,2026-04-15
C007693,2026-04-15
C002052,2026-04-15
C001971,2026-04-15
C006653,2026-04-15
C003303,2026-04-15
C000204,2026-04-15
C002457,2026-04-15
