scenario_id,total_amount,lambda,max_single_weight,max_high_risk_weight,min_liquid_weight,min_holdings
S01,500000.0,0.94,0.3,0.5,0.2,4
S02,500000.0,2.68,0.2,0.5,0.2,4
S03,1000000.0,2.42,0.2,0.5,0.3,6
S04,100000.0,2.79,0.3,0.5,0.1,4
S05,500000.0,1.78,0.3,0.35,0.1,6
S06,100000.0,1.97,0.2,0.2,0.2,6
S07,100000.0,0.93,0.2,0.35,0.1,4
S08,100000.0,2.04,0.25,0.35,0.3,4
S09,500000.0,2.97,0.25,0.2,0.1,5
S10,5000000.0,1.21,0.25,0.35,0.1,4
S11,100000.0,2.07,0.3,0.35,0.2,5
S12,1000000.0,0.78,0.3,0.35,0.3,5
S13,100000.0,2.08,0.25,0.35,0.3,5
S14,1000000.0,2.98,0.25,0.35,0.2,6
S15,100000.0,0.59,0.3,0.35,0.3,4
S16,500000.0,1.08,0.2,0.5,0.1,6
S17,5000000.0,0.68,0.25,0.35,0.1,4
S18,1000000.0,1.68,0.3,0.5,0.1,5
S19,5000000.0,0.58,0.3,0.5,0.1,6
S20,500000.0,0.94,0.2,0.2,0.2,6
