contact_id,customer_id,product_id,channel,contact_date,responded
K000000,C000768,P030,app_push,2025-04-12,1
K000001,C000648,P018,manager,2025-04-05,0
K000002,C003035,P008,manager,2026-03-10,1
K000003,C006804,P015,manager,2025-04-15,0
K000004,C007337,P023,call,2026-03-26,0
K000005,C004351,P021,sms,2025-09-22,0
K000006,C006957,P004,manager,2025-04-10,0
K000007,C006015,P029,manager,2025-06-27,1
K000008,C000727,P019,manager,2025-08-01,1
K000009,C000943,P004,call,2025-04-30,0
K000010,C004291,P023,sms,2026-03-19,0
K000011,C001967,P008,manager,2026-03-24,1
K000012,C002942,P020,call,2026-02-14,1
K000013,C005160,P002,call,2026-03-14,0
K000014,C006611,P019,call,2025-08-01,0
K000015,C007423,P028,call,2025-07-23,0
K000016,C007159,P025,app_push,2026-01-09,0
K000017,C005557,P022,sms,2025-10-25,0
K000018,C003823,P025,app_push,2025-11-27,1
K000019,C003847,P025,sms,2025-04-15,1
K000020,C003343,P002,call,2025-05-25,0
K000021,C001273,P001,sms,2026-03-13,0
K000022,C007145,P008,app_push,2025-08-18,0
K000023,C007978,P003,app_push,2025-08-26,1
K000024,C006499,P023,app_push,2026-03-08,0
K000025,C000108,P020,app_push,2025-07-15,0
K000026,C001814,P030,sms,2026-01-17,0
K000027,C000637,P015,call,2025-11-16,0
K000028,C006878,P021,app_push,2025-11-17,0
K000029,C007088,P013,call,2025-05-31,0
K000030,C001696,P007,app_push,2025-07-08,0
K000031,C004851,P003,app_push,2026-02-26,0
K000032,C007473,P010,call,2025-11-16,0
K000033,C004925,P011,call,2025-07-04,0
K000034,C000035,P020,sms,2025-12-19,0
K000035,C007117,P021,sms,2025-04-25,0
K000036,C003379,P020,app_push,2026-02-13,0
K000037,C005521,P029,manager,2025-11-25,0
K000038,C007309,P010,manager,2025-04-21,0
K000039,C002660,P014,app_push,2025-07-29,1
K000040,C007239,P001,manager,2025-10-16,1
K000041,C002092,P021,sms,2025-07-22,0
K000042,C005858,P005,call,2025-07-08,0
K000043,C003713,P005,sms,2025-04-08,0
K000044,C001409,P006,manager,2026-01-25,1
K000045,C004230,P021,manager,2026-01-18,0
K000046,C005821,P004,call,2025-06-12,0
K000047,C004496,P027,sms,2025-10-17,0
K000048,C000540,P021,sms,2026-02-28,0
K000049,C005269,P003,app_push,2025-09-26,0
K000050,C000206,P019,sms,2025-05-29,0
K000051,C004287,P018,app_push,2025-12-17,0
K000052,C004258,P004,call,2025-09-25,0
K000053,C007641,P005,app_push,2026-02-07,0
K000054,C007289,P006,app_push,2025-09-26,0
K000055,C005810,P019,sms,2026-03-13,0
K000056,C003139,P028,call,2025-05-08,0
K000057,C000756,P019,manager,2026-02-16,1
K000058,C005094,P004,manager,2026-01-27,0
K000059,C001869,P002,sms,2025-11-16,0
K000060,C005666,P022,manager,2025-11-04,1
K000061,C001141,P006,manager,2025-12-20,0
K000062,C004797,P024,manager,2025-09-11,0
K000063,C000451,P002,app_push,2025-09-08,0
K000064,C004125,P029,call,2025-05-18,0
K000065,C002216,P006,call,2025-12-17,0
K000066,C003674,P025,manager,2025-05-02,0
K000067,C004709,P022,manager,2026-01-12,0
K000068,C007711,P026,manager,2025-10-29,1
K000069,C003890,P029,sms,2025-06-30,0
K000070,C006724,P014,sms,2025-09-16,0
K000071,C000339,P020,manager,2025-07-04,0
K000072,C004025,P022,sms,2026-03-03,0
K000073,C002579,P026,manager,2025-05-31,0
K000074,C004167,P009,call,2025-08-19,0
K000075,C007540,P009,sms,2026-02-27,0
K000076,C003828,P005,app_push,2025-11-02,0
K000077,C005674,P002,manager,2025-10-23,1
K000078,C006750,P022,manager,2026-01-11,0
K000079,C004822,P019,call,2026-02-04,0
K000080,C006339,P018,manager,2025-07-18,1
K000081,C001374,P005,call,2026-01-28,0
K000082,C003986,P027,call,2025-04-19,0
K000083,C003072,P026,manager,2025-10-31,1
K000084,C007897,P001,app_push,2025-06-18,0
K000085,C001071,P029,call,2025-12-15,0
K000086,C007722,P029,manager,2025-04-25,0
K000087,C004294,P030,app_push,2025-06-09,0
K000088,C000459,P008,call,2026-01-29,0
K000089,C004054,P027,app_push,2025-10-21,0
K000090,C002174,P014,sms,2025-07-18,0
K000091,C006481,P024,manager,2025-12-27,0
K000092,C002527,P003,manager,2025-08-06,1
K000093,C004002,P005,manager,2025-06-27,0
K000094,C001261,P026,manager,2025-09-20,0
K000095,C003775,P025,call,2026-01-07,0
K000096,C003294,P023,manager,2025-08-29,0
K000097,C002172,P027,sms,2025-09-10,0
K000098,C004830,P021,call,2025-12-03,0
K000099,C001842,P024,sms,2025-09-07,0
K000100,C000245,P010,manager,2025-06-23,1
K000101,C003081,P025,call,2025-10-10,0
K000102,C007077,P025,sms,2025-06-28,0
K000103,C005596,P022,manager,2025-07-29,0
K000104,C005429,P018,sms,2025-09-06,0
K000105,C003707,P003,app_push,2026-02-13,1
K000106,C004433,P007,manager,2025-10-07,0
K000107,C007448,P030,call,2026-01-22,0
K000108,C001127,P016,app_push,2026-03-06,0
K000109,C000504,P013,app_push,2025-11-21,1
K000110,C003791,P025,call,2025-10-08,0
K000111,C007169,P026,call,2025-08-10,1
K000112,C001529,P025,app_push,2025-07-08,0
K000113,C001202,P021,app_push,2025-09-25,0
K000114,C001350,P026,manager,2025-11-15,0
K000115,C006099,P029,app_push,2025-10-01,1
K000116,C004047,P024,call,2025-04-22,0
K000117,C000188,P019,manager,2026-03-20,1
K000118,C006746,P022,manager,2026-03-07,1
K000119,C003103,P002,call,2025-11-19,0
K000120,C005849,P030,app_push,2025-12-03,0
K000121,C002013,P005,call,2026-02-14,0
K000122,C002419,P024,sms,2026-03-03,0
K000123,C007796,P021,manager,2025-10-06,0
K000124,C004005,P007,app_push,2025-06-01,0
K000125,C000547,P003,manager,2025-07-12,0
K000126,C006621,P020,call,2026-03-15,0
K000127,C001127,P008,manager,2026-02-11,1
K000128,C003771,P012,call,2026-02-17,0
K000129,C002109,P015,sms,2026-03-26,0
K000130,C007619,P005,manager,2025-07-05,0
K000131,C007095,P022,manager,2025-12-25,0
K000132,C000775,P010,call,2025-07-01,0
K000133,C006878,P006,app_push,2025-05-01,0
K000134,C001136,P003,sms,2025-10-13,0
K000135,C007583,P029,sms,2025-07-08,0
K000136,C002923,P006,call,2025-09-02,0
K000137,C005279,P027,manager,2026-03-16,0
K000138,C000253,P011,manager,2025-07-05,1
K000139,C004781,P005,sms,2026-01-12,0
K000140,C005297,P015,call,2025-04-22,0
K000141,C005369,P006,call,2025-11-19,0
K000142,C006398,P018,sms,2025-09-04,0
K000143,C002401,P009,manager,2025-10-16,1
K000144,C004990,P018,manager,2025-04-04,1
K000145,C002655,P029,manager,2026-02-14,1
K000146,C002883,P026,app_push,2026-01-15,0
K000147,C003502,P008,manager,2025-08-30,0
K000148,C005756,P029,sms,2026-01-31,0
K000149,C003849,P012,call,2025-09-12,0
K000150,C005469,P024,manager,2026-01-04,0
K000151,C005726,P018,app_push,2025-09-05,0
K000152,C000403,P012,call,2025-11-07,1
K000153,C006070,P030,call,2025-10-12,0
K000154,C007265,P011,manager,2025-05-02,0
K000155,C005815,P015,app_push,2025-09-24,0
K000156,C000071,P006,app_push,2025-06-23,0
K000157,C000446,P023,app_push,2026-01-26,0
K000158,C005610,P016,call,2025-12-19,0
K000159,C000196,P022,manager,2026-01-04,1
K000160,C001650,P006,call,2026-02-20,0
K000161,C006711,P009,app_push,2025-05-01,0
K000162,C000065,P027,manager,2025-09-06,1
K000163,C005854,P014,sms,2025-12-26,0
K000164,C007206,P007,manager,2025-11-25,1
K000165,C004053,P018,sms,2025-04-22,0
K000166,C000585,P008,sms,2025-06-07,1
K000167,C003608,P010,call,2025-11-13,0
K000168,C006553,P017,manager,2025-11-05,1
K000169,C002362,P027,manager,2025-05-10,1
K000170,C006011,P004,call,2026-03-06,0
K000171,C007874,P016,sms,2025-06-11,0
K000172,C005343,P026,manager,2026-02-03,0
K000173,C003086,P005,app_push,2026-02-02,0
