customer_id,age_group,city,occupation,income_level,register_date,aum,risk_appetite,vip_level,has_app
C000001,45-54,南京,企业职员,10-30万,2021-03-03,96618.43,R1,银卡,0
C000002,35-44,杭州,退休,30-50万,2022-08-13,1151110.45,R2,普通,1
C000003,55-64,上海,其他,10万以下,2018-09-29,21333.76,R1,普通,1
C000004,45-54,南京,专业技术,10万以下,2023-01-25,27916.18,R1,普通,1
C000005,25-34,上海,退休,30-50万,2019-09-26,253755.96,R3,普通,1
C000006,65+,南京,其他,30-50万,2019-11-01,283614.0,R5,普通,1
C000007,45-54,苏州,专业技术,10-30万,2021-12-21,234295.08,R3,普通,1
C000008,55-64,常州,个体经营,30-50万,2018-06-28,507112.51,R5,金卡,1
C000009,25-34,北京,退休,30-50万,2018-06-22,669059.8,R3,普通,0
C000010,35-44,南京,退休,10-30万,2024-03-29,62159.09,R2,普通,1
C000011,35-44,苏州,企业职员,50万以上,2020-12-28,2081064.07,R4,普通,1
C000012,65+,南通,企业职员,30-50万,2023-03-27,246101.21,R1,金卡,1
C000013,45-54,上海,退休,10-30万,2018-05-27,61487.41,R1,普通,1
C000014,55-64,北京,退休,10-30万,2018-08-10,135216.18,R5,普通,1
C000015,35-44,常州,退休,10万以下,2021-11-13,33631.62,R3,钻石,1
C000016,25-34,杭州,企业职员,10万以下,2022-05-11,30810.95,R4,金卡,1
C000017,35-44,徐州,企业职员,30-50万,2019-06-26,572632.27,R1,普通,1
C000018,18-24,南京,企业职员,30-50万,2022-01-27,619088.17,R3,普通,0
C000019,55-64,南通,公务员,10-30万,2020-01-06,250223.97,R2,普通,1
C000020,45-54,苏州,专业技术,10-30万,2020-06-03,66176.16,R2,金卡,0
C000021,45-54,上海,个体经营,10万以下,2022-09-14,63574.06,R4,银卡,1
C000022,35-44,苏州,企业职员,10万以下,2022-04-17,76888.25,R2,普通,1
C000023,65+,苏州,专业技术,50万以上,2018-10-18,1249008.58,R3,普通,1
C000024,55-64,深圳,公务员,10-30万,2021-06-13,52104.22,R4,普通,1
C000025,45-54,北京,公务员,10万以下,2021-11-25,15020.98,R4,银卡,1
C000026,25-34,无锡,退休,10-30万,2018-12-28,95255.81,R1,银卡,1
C000027,35-44,上海,公务员,10-30万,2020-12-20,328508.44,R1,普通,1
C000028,18-24,深圳,专业技术,30-50万,2021-01-05,403430.63,R4,普通,1
C000029,25-34,南京,企业职员,50万以上,2022-01-27,1101720.5,R3,银卡,1
C000030,45-54,南通,退休,10-30万,2020-05-25,85182.04,R3,银卡,0
C000031,45-54,苏州,专业技术,10-30万,2024-02-24,61937.8,R1,普通,1
C000032,65+,杭州,退休,10-30万,2023-02-09,185820.24,R1,钻石,1
C000033,35-44,南京,公务员,10-30万,2019-06-23,114601.1,R5,普通,1
C000034,35-44,上海,个体经营,10-30万,2022-11-03,342888.9,R2,普通,1
C000035,35-44,南京,个体经营,10万以下,2018-06-27,41070.99,R4,普通,0
C000036,25-34,无锡,其他,30-50万,2019-01-17,605729.01,R2,银卡,0
C000037,25-34,杭州,企业职员,10-30万,2022-02-12,106318.5,R2,普通,1
C000038,35-44,南京,公务员,10-30万,2018-11-21,69545.18,R3,普通,1
C000039,25-34,北京,其他,10万以下,2020-02-09,19383.2,R4,普通,1
C000040,45-54,南京,企业职员,30-50万,2019-07-22,201712.03,R2,普通,1
C000041,35-44,常州,公务员,10万以下,2021-08-01,47294.53,R2,普通,1
C000042,55-64,上海,公务员,10-30万,2023-09-06,98991.52,R3,普通,0
C000043,45-54,南京,退休,30-50万,2021-02-14,644010.36,R1,普通,1
C000044,25-34,南通,退休,10-30万,2019-06-27,128438.34,R2,钻石,0
C000045,55-64,常州,其他,50万以上,2023-11-14,1295706.27,R3,普通,0
C000046,55-64,南通,企业职员,10万以下,2024-04-19,16716.5,R1,普通,1
C000047,35-44,徐州,公务员,30-50万,2019-06-22,465113.25,R3,普通,1
C000048,25-34,无锡,个体经营,50万以上,2020-10-27,1344669.96,R1,银卡,1
C000049,45-54,苏州,退休,10-30万,2021-04-09,188403.08,R3,普通,0
C000050,25-34,南京,专业技术,10-30万,2020-05-07,83913.49,R4,银卡,1
C000051,25-34,北京,专业技术,10-30万,2020-04-17,163292.92,R4,银卡,1
C000052,18-24,无锡,退休,30-50万,2021-11-05,908585.28,R3,普通,0
C000053,55-64,苏州,公务员,50万以上,2020-09-26,1719000.58,R3,钻石,1
C000054,45-54,南京,其他,30-50万,2021-07-12,592357.46,R2,银卡,0
C000055,45-54,上海,专业技术,50万以上,2023-03-03,1996529.12,R2,银卡,0
C000056,55-64,常州,公务员,10-30万,2019-12-12,309989.21,R1,银卡,1
C000057,35-44,南京,个体经营,10-30万,2022-02-24,144498.91,R3,普通,0
C000058,35-44,北京,公务员,10-30万,2019-01-10,170284.6,R1,银卡,0
C000059,25-34,北京,公务员,30-50万,2022-01-09,392810.2,R2,银卡,1
C000060,25-34,北京,退休,30-50万,2023-04-11,271583.67,R3,金卡,0
C000061,45-54,南通,公务员,10-30万,2019-06-05,65588.73,R3,钻石,1
C000062,35-44,无锡,其他,10万以下,2023-08-01,56523.67,R2,普通,0
C000063,35-44,南京,企业职员,10-30万,2018-06-21,72480.1,R2,银卡,0
C000064,45-54,无锡,公务员,30-50万,2020-08-15,580794.39,R3,普通,0
C000065,45-54,徐州,其他,50万以上,2021-07-07,1846835.11,R4,金卡,0
C000066,35-44,苏州,退休,10万以下,2023-01-10,47469.63,R3,银卡,0
C000067,35-44,常州,个体经营,10万以下,2023-03-15,23192.79,R2,金卡,1
C000068,25-34,南通,公务员,10-30万,2023-03-31,80812.11,R4,银卡,1
C000069,18-24,上海,公务员,10万以下,2019-05-26,36247.97,R1,银卡,1
C000070,35-44,南京,公务员,50万以上,2023-03-11,1296015.13,R2,普通,1
C000071,25-34,杭州,其他,10-30万,2024-03-14,64843.56,R1,银卡,0
C000072,35-44,无锡,个体经营,10-30万,2023-03-25,316320.05,R2,普通,1
C000073,55-64,南通,其他,10万以下,2020-09-27,20196.18,R3,普通,1
C000074,25-34,深圳,退休,10-30万,2021-07-17,73015.77,R3,普通,1
C000075,18-24,南京,个体经营,50万以上,2022-03-03,1328960.72,R4,普通,0
C000076,25-34,北京,退休,10-30万,2018-08-10,224510.17,R3,金卡,1
C000077,25-34,杭州,个体经营,10万以下,2022-05-07,10153.62,R2,普通,0
C000078,45-54,深圳,个体经营,10万以下,2019-06-06,53846.6,R3,普通,1
C000079,35-44,无锡,退休,50万以上,2023-09-01,950971.07,R3,银卡,1
C000080,55-64,南京,退休,50万以上,2021-02-21,1712112.05,R3,普通,1
C000081,45-54,南京,公务员,10万以下,2023-08-17,21395.78,R2,普通,0
C000082,35-44,杭州,个体经营,10-30万,2023-12-05,324878.14,R3,普通,1
C000083,55-64,南京,其他,10万以下,2020-04-27,31928.77,R3,普通,1
C000084,25-34,苏州,公务员,10-30万,2020-05-12,84221.14,R2,金卡,1
C000085,18-24,深圳,退休,10万以下,2020-12-15,25807.15,R4,银卡,1
C000086,25-34,无锡,其他,30-50万,2021-09-12,418335.22,R2,银卡,1
C000087,45-54,苏州,专业技术,50万以上,2022-10-14,1639355.89,R1,普通,1
C000088,35-44,上海,企业职员,10万以下,2019-09-23,37359.18,R3,普通,1
C000089,25-34,苏州,其他,10-30万,2023-04-11,119915.75,R4,银卡,1
C000090,35-44,常州,其他,10万以下,2021-06-10,15068.65,R3,银卡,1
C000091,25-34,南京,专业技术,10-30万,2018-09-27,101226.23,R2,普通,1
C000092,45-54,常州,退休,10万以下,2020-05-22,40630.81,R5,普通,0
C000093,35-44,南京,企业职员,10万以下,2019-04-30,21461.4,R2,普通,1
C000094,35-44,上海,退休,50万以上,2023-03-18,2099828.65,R2,普通,0
C000095,25-34,无锡,退休,10万以下,2024-04-05,30479.56,R3,普通,1
C000096,45-54,苏州,专业技术,30-50万,2019-05-25,358738.77,R2,银卡,1
C000097,35-44,深圳,专业技术,10万以下,2021-01-09,54503.74,R3,普通,1
C000098,25-34,杭州,退休,10-30万,2019-09-21,50321.18,R5,银卡,1
C000099,25-34,南通,专业技术,10-30万,2019-05-05,85612.5,R2,普通,1
C000100,65+,深圳,企业职员,50万以上,2022-03-01,2777856.16,R1,普通,1
C000101,55-64,南京,公务员,10万以下,2023-10-01,74905.1,R2,银卡,1
C000102,45-54,南通,专业技术,10万以下,2018-08-11,94084.53,R3,普通,1
C000103,25-34,北京,专业技术,30-50万,2022-07-31,410198.96,R3,钻石,1
C000104,65+,南通,公务员,30-50万,2023-06-14,502911.01,R5,普通,1
C000105,45-54,苏州,企业职员,10-30万,2020-12-23,180585.74,R3,银卡,1
C000106,45-54,杭州,专业技术,10万以下,2024-04-17,56754.5,R5,普通,1
C000107,35-44,南京,公务员,10万以下,2024-01-21,35083.94,R2,普通,1
C000108,25-34,南京,退休,30-50万,2019-10-27,635580.66,R2,普通,1
C000109,25-34,上海,专业技术,10-30万,2023-11-19,151014.92,R2,普通,1
C000110,55-64,南京,公务员,10-30万,2020-10-18,155804.76,R4,普通,1
C000111,35-44,南京,退休,10万以下,2021-09-07,18953.96,R1,普通,1
C000112,25-34,无锡,企业职员,10万以下,2023-09-30,25446.81,R1,金卡,1
C000113,25-34,无锡,个体经营,50万以上,2018-09-26,1154977.09,R2,普通,1
C000114,35-44,常州,专业技术,30-50万,2023-06-16,220746.91,R2,普通,1
C000115,25-34,上海,其他,10万以下,2020-06-30,13136.5,R3,普通,1
C000116,55-64,南通,其他,50万以上,2023-08-18,1213673.07,R4,钻石,0
C000117,45-54,上海,退休,10-30万,2020-11-10,105167.11,R1,普通,1
C000118,45-54,南京,专业技术,10-30万,2023-05-30,126470.65,R3,银卡,1
C000119,35-44,苏州,专业技术,10-30万,2019-01-24,158437.57,R1,普通,1
C000120,45-54,深圳,个体经营,30-50万,2021-08-20,439450.76,R2,普通,1
C000121,45-54,无锡,专业技术,10-30万,2024-05-12,105534.31,R2,普通,1
C000122,45-54,苏州,其他,10-30万,2024-02-09,75938.86,R3,钻石,0
C000123,25-34,深圳,专业技术,30-50万,2021-02-22,620173.39,R3,普通,0
C000124,35-44,无锡,退休,10万以下,2021-04-15,28510.89,R3,普通,1
C000125,18-24,常州,专业技术,50万以上,2022-06-04,1207521.86,R4,银卡,1
C000126,35-44,苏州,退休,10-30万,2020-10-08,109318.39,R1,普通,1
C000127,35-44,徐州,其他,10-30万,2019-08-13,83189.37,R3,金卡,1
C000128,25-34,南京,个体经营,10-30万,2020-01-13,92033.7,R3,普通,1
C000129,25-34,南通,专业技术,10-30万,2019-11-26,90582.64,R1,金卡,1
C000130,45-54,上海,个体经营,10-30万,2018-09-19,103940.96,R2,银卡,1
C000131,25-34,徐州,专业技术,10-30万,2023-03-04,166562.27,R1,普通,1
C000132,65+,南京,公务员,50万以上,2023-12-02,1838630.76,R1,钻石,1
C000133,45-54,南京,其他,30-50万,2023-09-08,866821.65,R2,钻石,1
C000134,35-44,杭州,退休,30-50万,2024-03-15,733134.44,R2,银卡,0
C000135,45-54,北京,其他,10万以下,2022-08-25,79790.8,R4,普通,1
C000136,18-24,南京,公务员,10-30万,2023-07-30,158708.79,R4,银卡,0
C000137,65+,无锡,其他,10-30万,2018-11-13,157439.99,R3,普通,1
C000138,35-44,徐州,退休,10万以下,2022-05-20,23511.5,R3,金卡,1
C000139,55-64,杭州,个体经营,30-50万,2023-02-06,604542.51,R5,普通,0
C000140,25-34,北京,其他,10-30万,2021-04-02,86438.51,R2,银卡,1
C000141,35-44,上海,专业技术,10万以下,2021-10-27,14381.89,R3,银卡,1
C000142,35-44,南京,专业技术,10万以下,2024-05-22,64351.42,R3,钻石,1
C000143,65+,上海,退休,10万以下,2018-08-20,16064.42,R4,金卡,1
C000144,35-44,杭州,企业职员,10-30万,2020-03-30,149443.39,R4,银卡,0
C000145,35-44,苏州,个体经营,10-30万,2019-06-12,77271.57,R1,银卡,0
C000146,25-34,常州,企业职员,10-30万,2018-08-26,210782.24,R3,普通,1
C000147,35-44,南京,个体经营,10万以下,2019-01-30,56411.46,R2,普通,1
C000148,35-44,苏州,退休,10万以下,2022-11-29,39086.86,R2,钻石,1
C000149,35-44,杭州,其他,30-50万,2019-10-26,745941.29,R3,普通,0
C000150,18-24,南京,公务员,10万以下,2024-05-12,30110.26,R3,银卡,1
C000151,55-64,上海,其他,10-30万,2022-03-28,366712.84,R1,普通,1
C000152,55-64,南京,企业职员,10-30万,2019-11-17,174264.52,R2,普通,1
C000153,25-34,苏州,企业职员,10-30万,2020-03-14,76494.28,R3,普通,0
C000154,35-44,南通,个体经营,30-50万,2019-10-11,414166.43,R1,钻石,1
C000155,25-34,南京,公务员,10-30万,2019-11-09,111190.03,R4,普通,1
C000156,45-54,上海,专业技术,50万以上,2024-02-26,1323464.71,R2,普通,0
C000157,25-34,苏州,公务员,30-50万,2020-11-25,174669.38,R3,普通,1
C000158,45-54,上海,专业技术,10万以下,2020-09-11,36402.22,R1,普通,1
C000159,45-54,深圳,其他,10万以下,2023-06-25,15004.06,R5,普通,1
C000160,45-54,无锡,公务员,10-30万,2022-12-14,33946.58,R4,普通,1
C000161,25-34,南京,个体经营,10-30万,2021-06-24,101036.81,R1,银卡,0
C000162,55-64,杭州,专业技术,10-30万,2020-08-08,82232.03,R3,金卡,1
C000163,25-34,苏州,个体经营,10万以下,2019-04-18,19500.28,R4,银卡,1
C000164,18-24,南京,个体经营,10万以下,2020-01-15,6357.59,R1,银卡,1
C000165,35-44,北京,企业职员,10-30万,2018-07-16,78419.32,R3,普通,1
C000166,35-44,苏州,个体经营,10-30万,2023-01-27,110020.95,R4,银卡,1
C000167,55-64,南通,其他,10-30万,2022-01-19,87392.96,R3,银卡,1
C000168,55-64,苏州,其他,50万以上,2022-11-05,1820546.89,R4,银卡,1
C000169,25-34,上海,退休,10万以下,2019-01-19,60191.29,R1,银卡,1
C000170,65+,徐州,企业职员,10-30万,2020-09-24,155349.2,R4,银卡,1
C000171,25-34,常州,企业职员,50万以上,2021-05-10,2505935.84,R5,银卡,1
C000172,35-44,南通,专业技术,10-30万,2020-11-28,208941.66,R1,金卡,1
C000173,25-34,苏州,公务员,10-30万,2022-06-13,72100.53,R2,普通,1
C000174,65+,南京,公务员,10-30万,2019-01-29,149463.03,R3,普通,1
C000175,25-34,杭州,公务员,10万以下,2020-09-17,49342.02,R4,银卡,1
C000176,18-24,北京,公务员,30-50万,2021-05-05,321656.53,R1,银卡,1
C000177,35-44,上海,企业职员,10-30万,2020-03-03,80816.28,R2,银卡,1
C000178,65+,上海,专业技术,10-30万,2019-08-07,156443.51,R4,普通,1
C000179,55-64,常州,个体经营,10-30万,2022-01-13,57207.06,R2,普通,1
C000180,45-54,南通,退休,10-30万,2020-01-03,69650.47,R3,银卡,1
C000181,55-64,上海,公务员,10万以下,2019-08-10,21494.98,R3,普通,1
C000182,55-64,南京,专业技术,30-50万,2020-05-28,501057.9,R5,普通,0
C000183,35-44,无锡,公务员,10-30万,2023-09-18,133880.55,R1,普通,1
C000184,25-34,苏州,其他,10万以下,2023-04-06,50268.71,R5,普通,1
C000185,45-54,无锡,公务员,10-30万,2024-03-24,75683.24,R3,普通,1
C000186,45-54,上海,退休,50万以上,2022-10-02,921021.98,R4,普通,1
C000187,35-44,无锡,退休,10-30万,2023-06-04,155936.32,R1,普通,1
C000188,25-34,上海,公务员,10-30万,2021-01-01,80492.04,R3,钻石,0
C000189,45-54,深圳,企业职员,10-30万,2018-12-09,88742.58,R4,普通,1
C000190,25-34,北京,专业技术,30-50万,2024-01-07,158076.98,R4,钻石,0
C000191,65+,杭州,企业职员,10-30万,2022-09-14,138783.44,R1,普通,1
C000192,25-34,杭州,专业技术,30-50万,2024-02-22,864464.1,R2,银卡,1
C000193,25-34,无锡,退休,10万以下,2023-11-30,17931.39,R1,普通,1
C000194,55-64,上海,专业技术,50万以上,2024-02-12,2500065.46,R1,普通,1
C000195,25-34,徐州,其他,50万以上,2020-10-05,1456106.1,R3,普通,1
C000196,25-34,深圳,个体经营,10-30万,2018-11-13,49639.38,R5,普通,1
C000197,45-54,南通,专业技术,10-30万,2020-01-19,76717.38,R3,钻石,1
C000198,55-64,无锡,其他,10万以下,2020-04-07,18596.32,R1,普通,1
C000199,25-34,杭州,其他,10-30万,2023-06-22,102434.94,R2,普通,1
C000200,25-34,上海,个体经营,10万以下,2019-05-18,37001.35,R2,普通,1
C000201,45-54,南京,个体经营,10万以下,2020-12-04,75615.31,R1,普通,0
C000202,65+,南通,退休,50万以上,2018-08-12,733367.9,R4,金卡,1
C000203,35-44,南通,专业技术,10万以下,2022-01-23,23542.53,R1,银卡,1
C000204,25-34,徐州,个体经营,10-30万,2020-03-11,76669.3,R1,普通,0
C000205,18-24,深圳,退休,10-30万,2021-07-09,63656.54,R3,普通,1
C000206,25-34,南通,退休,10-30万,2021-04-24,125865.72,R1,普通,1
C000207,25-34,北京,个体经营,10-30万,2023-10-11,120088.83,R2,银卡,1
C000208,45-54,苏州,个体经营,10-30万,2021-07-13,48452.82,R3,普通,0
C000209,25-34,南京,退休,10-30万,2023-05-30,121093.99,R1,金卡,1
C000210,35-44,无锡,企业职员,50万以上,2019-12-03,820999.41,R3,金卡,0
C000211,45-54,常州,退休,10-30万,2020-02-23,120711.77,R3,普通,1
C000212,45-54,杭州,个体经营,50万以上,2019-03-10,2829820.71,R3,普通,1
C000213,25-34,徐州,其他,10-30万,2021-08-21,151263.86,R2,金卡,1
C000214,55-64,无锡,专业技术,10-30万,2019-06-02,131138.01,R2,普通,0
C000215,45-54,常州,个体经营,10万以下,2019-01-20,23030.39,R3,普通,1
C000216,45-54,深圳,企业职员,10万以下,2021-06-12,31019.97,R1,普通,1
C000217,25-34,南京,企业职员,30-50万,2018-09-17,530113.78,R1,普通,1
C000218,25-34,南京,专业技术,10-30万,2019-10-04,151346.95,R2,银卡,1
