event_id,customer_id,event_type,event_date
E000000,C003642,consult,2026-02-12
E000001,C003642,complaint,2026-01-29
E000002,C003642,login,2025-12-02
E000003,C005087,complaint,2026-02-18
E000004,C005087,login,2026-01-03
E000005,C005087,login,2025-10-03
E000006,C005087,login,2025-11-23
E000007,C005087,complaint,2025-11-23
E000008,C001658,login,2026-03-02
E000009,C001658,consult,2025-10-26
E000010,C001658,login,2025-07-09
E000011,C006843,complaint,2025-09-28
E000012,C006843,login,2026-01-20
E000013,C006843,login,2025-11-28
E000014,C000789,login,2025-09-17
E000015,C000789,login,2025-12-07
E000016,C000789,login,2025-09-06
E000017,C000789,login,2025-10-03
E000018,C004337,login,2025-09-23
E000019,C006173,login,2025-08-19
E000020,C006173,login,2026-02-21
E000021,C006173,login,2025-11-30
E000022,C006173,login,2025-08-28
E000023,C006173,login,2026-01-25
E000024,C000446,login,2025-11-14
E000025,C000446,login,2025-06-13
E000026,C007676,login,2026-01-02
E000027,C007676,complaint,2026-03-18
E000028,C003857,complaint,2025-11-27
E000029,C003857,consult,2026-02-03
E000030,C002773,login,2025-12-26
E000031,C002773,consult,2026-03-17
E000032,C002773,login,2025-08-02
E000033,C005078,login,2025-08-06
E000034,C005078,login,2026-02-18
E000035,C005078,login,2026-02-11
E000036,C005078,login,2025-06-20
E000037,C005078,login,2026-01-09
E000038,C002039,login,2025-11-13
E000039,C002039,login,2025-06-16
E000040,C002039,login,2025-11-21
E000041,C002039,login,2025-06-25
E000042,C005113,login,2025-12-11
E000043,C005113,login,2025-07-25
E000044,C005113,login,2025-10-26
E000045,C006827,login,2026-03-16
E000046,C006827,consult,2025-07-24
E000047,C006827,consult,2025-09-28
E000048,C006442,login,2025-11-04
E000049,C006442,login,2025-10-02
E000050,C004880,complaint,2025-11-12
E000051,C004880,consult,2026-03-01
E000052,C004880,login,2025-08-23
E000053,C004880,login,2026-01-19
E000054,C004880,login,2025-12-27
E000055,C004943,consult,2026-02-18
E000056,C004943,login,2026-01-11
E000057,C004943,login,2025-09-24
E000058,C004943,login,2026-03-09
E000059,C004943,login,2026-03-07
E000060,C004464,login,2025-10-23
E000061,C004464,login,2025-10-27
E000062,C007863,login,2025-06-19
E000063,C007863,complaint,2025-12-02
E000064,C007863,login,2025-06-03
E000065,C007863,consult,2025-12-25
E000066,C007863,login,2026-03-20
E000067,C005756,login,2025-11-23
E000068,C000461,consult,2026-02-08
E000069,C006094,consult,2025-07-25
E000070,C006094,consult,2025-10-03
E000071,C006094,login,2025-07-10
E000072,C006094,login,2025-07-02
E000073,C002352,consult,2026-02-03
E000074,C001196,login,2025-12-11
E000075,C001196,complaint,2025-06-13
E000076,C001755,consult,2025-12-04
E000077,C001755,login,2026-01-15
E000078,C001755,consult,2025-06-29
E000079,C001755,login,2026-02-18
E000080,C001755,complaint,2026-01-02
E000081,C006284,login,2025-09-25
E000082,C006039,consult,2025-06-30
E000083,C006039,complaint,2025-08-17
E000084,C006039,login,2025-11-01
E000085,C006039,login,2025-10-14
E000086,C006039,complaint,2026-02-16
E000087,C007190,login,2025-07-12
E000088,C007190,login,2026-02-20
E000089,C007190,complaint,2025-09-30
E000090,C007190,consult,2026-03-04
E000091,C007190,login,2025-09-07
E000092,C004307,login,2026-03-16
E000093,C004307,login,2025-10-13
E000094,C005039,login,2025-12-25
E000095,C005039,login,2025-11-20
E000096,C005039,login,2025-07-15
E000097,C005039,login,2025-12-04
E000098,C005039,login,2025-12-25
E000099,C002632,consult,2025-09-02
E000100,C002632,login,2025-11-21
E000101,C002632,login,2025-09-02
E000102,C002632,login,2025-08-30
E000103,C002632,consult,2025-10-05
E000104,C004140,login,2026-02-20
E000105,C004140,consult,2026-01-13
E000106,C004140,consult,2025-06-04
E000107,C004140,consult,2025-12-15
