holding_id,customer_id,product_id,amount,buy_date
H000000,C002216,P029,55926.41,2025-10-18
H000001,C002583,P012,20259.03,2025-08-24
H000002,C002583,P018,42550.1,2024-07-04
H000003,C003028,P027,100000.0,2025-09-12
H000004,C003028,P008,122918.76,2025-03-10
H000005,C004344,P004,113072.93,2025-01-31
H000006,C002681,P013,50122.06,2025-10-27
H000007,C001766,P027,100000.0,2025-10-15
H000008,C001124,P007,81639.96,2025-06-28
H000009,C004055,P014,57652.51,2025-11-29
H000010,C004055,P019,95825.45,2025-12-11
H000011,C004055,P020,12955.49,2025-06-23
H000012,C004055,P028,100000.0,2025-05-11
H000013,C003762,P020,10000.0,2025-03-14
H000014,C003762,P029,31836.34,2025-06-15
H000015,C001536,P005,100000.0,2024-07-23
H000016,C001536,P006,54200.42,2025-10-25
H000017,C001536,P022,34768.56,2025-01-14
H000018,C002945,P009,50000.0,2024-12-04
H000019,C002945,P020,69645.4,2025-10-14
H000020,C002988,P012,24369.07,2025-10-18
H000021,C002988,P022,25783.72,2024-09-25
H000022,C002988,P014,44233.47,2025-06-05
H000023,C004292,P003,50000.0,2025-11-19
H000024,C004292,P016,100000.0,2025-02-03
H000025,C004292,P010,50000.0,2025-12-07
H000026,C004343,P007,50000.0,2024-08-03
H000027,C004425,P004,9561.61,2024-09-25
H000028,C007942,P023,23207.81,2025-01-26
H000029,C007942,P019,53073.03,2024-07-12
H000030,C007942,P022,11059.62,2024-06-29
H000031,C004998,P012,14292.28,2025-06-15
H000032,C002749,P012,29335.68,2025-12-27
H000033,C002749,P020,22055.45,2024-10-25
H000034,C002303,P009,50000.0,2024-07-21
H000035,C002303,P011,67346.56,2025-05-06
H000036,C003933,P006,63496.74,2025-09-12
H000037,C003933,P012,15084.56,2025-06-07
H000038,C006132,P003,50000.0,2025-10-08
H000039,C007597,P015,50000.0,2025-07-20
H000040,C007597,P023,10023.88,2026-01-02
H000041,C000795,P001,50000.0,2025-01-29
H000042,C000795,P002,49428.14,2025-01-12
H000043,C003164,P008,33026.49,2025-05-17
H000044,C003164,P015,50000.0,2025-08-23
H000045,C007941,P027,100000.0,2025-06-16
H000046,C003182,P025,42476.72,2025-02-05
H000047,C000764,P018,10000.0,2024-10-28
H000048,C000812,P022,36745.93,2025-03-09
H000049,C000812,P016,100000.0,2025-10-11
H000050,C000812,P016,100000.0,2024-07-29
H000051,C007260,P029,15926.6,2025-04-26
H000052,C007260,P025,55281.59,2025-05-09
H000053,C006932,P019,20053.93,2024-11-08
H000054,C006932,P030,5447.13,2024-10-22
H000055,C001619,P029,42782.77,2026-01-05
H000056,C001619,P004,92586.58,2025-08-28
H000057,C006827,P005,100000.0,2024-07-25
H000058,C006827,P011,26471.73,2025-10-16
H000059,C001043,P029,26423.02,2025-01-20
H000060,C001043,P022,10000.0,2024-07-21
H000061,C001043,P006,117697.13,2026-01-03
H000062,C005319,P030,20728.1,2024-08-18
H000063,C004795,P002,11059.65,2025-10-18
H000064,C000488,P008,11324.22,2025-02-13
H000065,C000488,P025,31535.34,2025-12-22
H000066,C001018,P001,101794.33,2024-07-25
H000067,C002816,P017,11483.78,2025-07-28
H000068,C002717,P021,100000.0,2025-03-23
H000069,C002717,P014,58751.92,2025-04-18
H000070,C005364,P008,62126.7,2025-12-04
H000071,C005364,P007,50000.0,2024-10-13
H000072,C005364,P010,50000.0,2025-04-06
H000073,C005364,P015,50000.0,2025-07-31
H000074,C003363,P024,44462.33,2025-07-16
H000075,C005166,P004,83715.19,2025-04-04
H000076,C005166,P004,10977.54,2024-10-19
H000077,C001076,P002,23030.41,2024-12-21
H000078,C004982,P018,10000.0,2025-05-13
H000079,C004982,P026,23450.7,2024-10-31
H000080,C006229,P021,100000.0,2024-11-04
H000081,C006229,P026,62778.62,2025-07-14
H000082,C006229,P024,29447.15,2025-11-22
H000083,C002922,P008,29242.09,2025-03-06
H000084,C002922,P015,74897.16,2025-04-01
H000085,C004020,P019,13708.86,2025-02-14
H000086,C004332,P007,93476.49,2024-11-28
H000087,C004332,P002,7328.92,2025-03-01
H000088,C007000,P026,164612.34,2025-05-30
H000089,C007000,P030,33086.42,2025-11-17
H000090,C007000,P017,89839.68,2025-04-06
H000091,C001323,P002,35737.93,2024-08-28
H000092,C007732,P012,55991.58,2025-11-14
H000093,C002253,P015,51281.12,2025-06-15
H000094,C002253,P006,73724.21,2025-06-28
H000095,C002253,P023,51756.72,2025-08-14
H000096,C006655,P025,14165.4,2025-05-17
H000097,C006655,P019,30211.95,2025-06-13
H000098,C006655,P002,21157.25,2024-10-13
H000099,C007245,P030,28916.39,2025-12-17
H000100,C007245,P020,10000.0,2024-07-22
H000101,C000867,P007,53334.58,2024-12-19
H000102,C000867,P007,58609.02,2025-09-14
H000103,C005592,P021,100000.0,2025-06-18
H000104,C002466,P019,75989.45,2025-01-05
H000105,C002466,P003,135034.1,2026-01-04
H000106,C002466,P008,123968.04,2025-07-25
H000107,C002466,P025,25414.6,2025-08-13
H000108,C002883,P014,41329.46,2025-11-02
H000109,C002883,P007,50000.0,2025-09-18
H000110,C002883,P008,96373.88,2025-07-01
H000111,C007043,P012,12883.7,2025-05-18
H000112,C006241,P023,23724.92,2025-10-25
H000113,C006241,P008,11244.46,2025-09-28
H000114,C005448,P008,31539.75,2026-01-06
H000115,C001503,P026,99029.15,2025-05-05
H000116,C001503,P024,7894.2,2025-09-09
H000117,C003916,P029,18252.63,2025-02-28
H000118,C003916,P009,50000.0,2025-10-19
H000119,C003916,P028,100000.0,2024-06-22
H000120,C003263,P004,110027.76,2025-04-23
H000121,C003263,P029,42439.44,2025-06-23
H000122,C003263,P012,17447.92,2025-12-05
H000123,C000264,P002,120542.55,2025-10-20
H000124,C000264,P026,18161.48,2024-08-01
H000125,C000264,P025,53239.24,2025-02-11
H000126,C003807,P024,57194.08,2025-07-01
H000127,C004085,P024,43827.07,2024-10-13
H000128,C004085,P029,48837.61,2025-08-18
H000129,C007840,P012,38191.09,2025-08-20
H000130,C007840,P011,13022.62,2025-08-17
H000131,C001812,P013,39154.37,2025-09-28
H000132,C001145,P011,41728.38,2025-08-06
H000133,C005828,P029,43867.84,2025-04-08
H000134,C002150,P009,69938.77,2025-06-24
H000135,C002150,P010,50000.0,2025-02-16
H000136,C003930,P026,39913.16,2024-12-18
H000137,C006320,P028,100000.0,2025-12-01
H000138,C006320,P025,34774.23,2025-01-08
H000139,C003291,P007,50000.0,2025-10-13
H000140,C000683,P004,31526.12,2025-07-05
H000141,C002841,P011,52140.0,2024-10-09
H000142,C001003,P008,45869.85,2025-06-02
H000143,C006756,P006,50000.0,2025-11-08
H000144,C005130,P004,34579.11,2024-08-02
H000145,C004291,P023,39015.5,2025-05-29
H000146,C004291,P029,70339.81,2025-06-15
H000147,C004291,P013,32369.07,2025-09-24
H000148,C000484,P019,27608.52,2025-05-09
H000149,C003814,P009,53479.26,2025-01-03
H000150,C003814,P015,50000.0,2025-08-08
H000151,C003814,P027,100000.0,2025-05-16
H000152,C003814,P027,100000.0,2025-04-05
H000153,C004415,P018,39371.67,2025-11-06
H000154,C004415,P021,100000.0,2026-01-07
H000155,C004415,P019,71981.76,2025-03-29
H000156,C000519,P028,100000.0,2025-06-15
H000157,C006989,P024,60092.92,2025-05-22
H000158,C001346,P002,87286.38,2025-04-21
H000159,C000697,P020,36820.45,2025-12-07
H000160,C001010,P030,60000.47,2025-11-04
H000161,C006318,P016,100000.0,2025-05-26
H000162,C006318,P023,38629.63,2025-02-28
H000163,C006596,P028,100000.0,2024-10-16
H000164,C006596,P024,30557.6,2025-08-28
H000165,C001075,P014,27243.79,2024-12-17
H000166,C001340,P030,29262.77,2025-05-19
H000167,C001340,P030,37153.98,2024-12-26
H000168,C001340,P006,50000.0,2025-07-09
H000169,C007710,P024,35160.57,2025-01-21
H000170,C006748,P027,100000.0,2025-02-16
H000171,C006748,P006,50000.0,2025-05-18
H000172,C004422,P017,24983.42,2025-04-25
H000173,C003393,P009,50000.0,2024-12-20
H000174,C003393,P016,100000.0,2025-05-23
H000175,C001484,P014,32185.64,2025-05-27
H000176,C001484,P007,57600.62,2025-07-17
H000177,C004862,P026,65321.07,2024-06-26
H000178,C004862,P015,57842.33,2025-10-05
H000179,C004862,P013,10000.0,2025-09-30
H000180,C004862,P022,24299.68,2024-07-24
H000181,C001935,P015,50000.0,2025-08-19
H000182,C001935,P021,100000.0,2024-09-26
H000183,C001935,P022,12005.53,2024-10-15
H000184,C001035,P013,22730.22,2025-09-17
H000185,C005485,P018,65235.89,2025-10-22
H000186,C005485,P013,82909.41,2025-08-11
H000187,C002479,P020,26585.74,2024-09-12
H000188,C000350,P030,10094.47,2025-10-19
H000189,C004394,P029,26456.43,2025-02-16
H000190,C004394,P026,23922.99,2024-11-10
H000191,C004353,P015,50000.0,2025-04-25
H000192,C004353,P004,47052.86,2025-01-14
H000193,C004353,P019,47032.86,2024-12-10
H000194,C007558,P026,73929.83,2025-05-11
H000195,C001062,P002,35798.58,2025-12-13
H000196,C001062,P018,59479.88,2025-12-29
H000197,C000880,P015,50000.0,2025-08-28
H000198,C000880,P003,50000.0,2025-12-28
H000199,C005603,P020,26134.78,2024-07-11
H000200,C005603,P026,35922.65,2024-09-04
H000201,C002543,P013,13518.63,2025-12-31
H000202,C006424,P024,12120.12,2025-11-23
H000203,C006745,P014,47058.59,2025-12-21
H000204,C006745,P029,17793.49,2025-07-15
H000205,C006745,P007,214434.9,2025-10-23
H000206,C006745,P027,100000.0,2025-11-04
H000207,C001851,P026,28990.39,2025-03-03
H000208,C005403,P009,156353.79,2025-07-25
H000209,C001678,P008,157263.09,2025-03-15
H000210,C001678,P009,50000.0,2024-09-15
H000211,C001678,P024,1923.11,2025-09-05
H000212,C001836,P023,19741.96,2025-07-06
H000213,C007112,P007,50000.0,2025-04-19
H000214,C007112,P012,36781.29,2025-08-15
H000215,C004953,P017,39686.68,2024-10-26
H000216,C004705,P003,50000.0,2025-08-12
H000217,C004705,P004,17271.19,2024-06-16
H000218,C004705,P026,26161.28,2025-04-21
H000219,C005200,P029,41458.03,2025-07-22
H000220,C005200,P007,116039.83,2025-01-19
H000221,C000458,P020,44191.09,2025-02-09
H000222,C000458,P028,100000.0,2025-11-07
H000223,C000458,P025,8767.04,2025-06-16
H000224,C004648,P007,50000.0,2025-06-30
H000225,C004648,P016,100000.0,2024-06-10
H000226,C004648,P004,13299.64,2024-12-27
H000227,C006508,P022,12251.66,2026-01-19
H000228,C003183,P014,29536.69,2025-11-20
H000229,C003183,P009,51412.35,2025-09-25
H000230,C003183,P011,116083.12,2025-04-06
H000231,C005338,P019,56996.01,2024-11-27
H000232,C005338,P026,106094.38,2025-08-08
H000233,C006125,P019,16309.98,2025-11-06
H000234,C006125,P019,12061.52,2025-04-14
H000235,C003264,P011,33783.1,2024-08-25
H000236,C006523,P019,21280.6,2024-09-01
H000237,C006522,P012,22110.24,2025-06-18
H000238,C006703,P011,10000.0,2025-10-30
H000239,C006703,P023,49735.21,2025-10-04
H000240,C002989,P004,59714.64,2025-04-10
H000241,C007021,P015,50000.0,2025-08-28
H000242,C007021,P026,65706.0,2024-08-21
H000243,C001551,P027,100000.0,2025-10-10
H000244,C001551,P028,100000.0,2025-12-25
H000245,C001551,P009,50000.0,2025-01-07
H000246,C002165,P022,40550.43,2025-10-14
H000247,C000587,P014,22594.39,2026-01-19
H000248,C002406,P007,50668.98,2024-11-11
H000249,C006801,P026,10241.96,2024-12-03
H000250,C003429,P004,44337.09,2025-12-31
H000251,C003429,P029,70785.83,2025-10-28
H000252,C002610,P016,100000.0,2024-06-18
H000253,C002610,P009,50000.0,2024-07-18
H000254,C003657,P030,95649.89,2026-01-08
H000255,C003657,P006,50000.0,2025-06-26
H000256,C003657,P017,41077.76,2025-02-22
H000257,C003657,P007,50000.0,2025-05-17
H000258,C003215,P009,60920.92,2024-11-11
H000259,C003535,P011,32784.9,2025-11-22
H000260,C003287,P019,20410.22,2024-11-07
H000261,C003287,P012,51362.89,2025-09-23
H000262,C003287,P030,122426.34,2024-09-11
H000263,C003287,P026,15486.53,2025-06-30
H000264,C002081,P025,14542.91,2025-06-11
H000265,C006956,P003,50000.0,2025-08-21
H000266,C006488,P029,53472.34,2026-01-10
H000267,C006488,P028,100000.0,2025-07-01
H000268,C000648,P022,41067.88,2024-08-05
H000269,C000223,P001,50000.0,2025-09-17
H000270,C006890,P018,55153.83,2026-01-02
H000271,C006890,P017,21209.28,2024-07-11
H000272,C007679,P008,19468.23,2026-01-17
H000273,C007679,P025,13695.9,2025-11-01
H000274,C007679,P013,111153.5,2025-06-15
H000275,C007679,P019,113222.56,2025-10-10
H000276,C000024,P020,52104.22,2024-08-04
H000277,C001906,P022,32200.5,2025-09-10
H000278,C001906,P015,52070.6,2025-09-02
H000279,C001906,P026,25718.35,2024-10-10
H000280,C001906,P024,83583.56,2025-07-01
H000281,C004079,P024,23688.18,2024-10-15
H000282,C001555,P017,53715.57,2024-09-06
H000283,C005724,P009,50000.0,2024-10-09
H000284,C005724,P015,66351.44,2025-02-27
H000285,C005724,P021,100000.0,2025-07-17
H000286,C005205,P007,54506.67,2024-06-29
H000287,C005205,P010,50000.0,2025-02-22
H000288,C005205,P019,59151.05,2025-12-19
H000289,C007701,P002,6897.15,2024-09-15
H000290,C007701,P008,36064.29,2025-06-16
H000291,C007701,P026,78272.94,2024-07-24
H000292,C007701,P029,10000.0,2025-04-29
H000293,C004946,P020,40005.33,2025-09-09
H000294,C004946,P018,34058.43,2024-11-17
H000295,C001408,P022,29678.08,2025-03-23
H000296,C000066,P004,18994.27,2024-07-26
H000297,C000066,P026,28475.36,2025-07-05
H000298,C006341,P019,9850.12,2024-09-26
H000299,C006341,P019,53994.6,2025-04-25
H000300,C006341,P014,17996.26,2025-08-03
H000301,C006341,P014,10000.0,2025-12-29
H000302,C001045,P002,7505.88,2024-11-30
H000303,C001045,P022,50097.61,2024-09-08
H000304,C006689,P017,173641.85,2025-07-22
H000305,C006689,P013,59091.34,2025-12-19
H000306,C007925,P018,42054.65,2025-09-28
H000307,C007925,P011,10000.0,2025-04-11
H000308,C004744,P023,14313.96,2025-11-08
H000309,C002032,P008,20820.57,2025-05-24
H000310,C002032,P016,100000.0,2026-01-19
H000311,C005825,P011,13555.2,2025-09-23
H000312,C005037,P014,100207.19,2025-02-10
H000313,C000555,P024,19535.58,2024-10-15
H000314,C000555,P024,42107.92,2025-11-14
H000315,C000555,P020,74197.66,2025-03-07
H000316,C007312,P005,100000.0,2024-08-21
H000317,C007312,P001,50000.0,2025-08-08
H000318,C004395,P008,43242.23,2025-02-23
H000319,C005395,P014,27548.15,2026-01-18
H000320,C003536,P022,29302.65,2025-12-12
H000321,C006727,P023,70072.93,2025-05-07
H000322,C001056,P028,100000.0,2025-03-25
H000323,C001056,P027,100000.0,2025-04-01
H000324,C001056,P029,23843.51,2026-01-16
H000325,C001056,P020,10000.0,2025-08-26
H000326,C001407,P007,50000.0,2024-08-20
H000327,C003768,P024,34098.96,2025-08-16
H000328,C000602,P019,17193.57,2026-01-16
H000329,C001384,P002,45566.81,2024-07-10
H000330,C001384,P001,50000.0,2025-10-30
H000331,C001384,P030,74625.89,2024-10-11
H000332,C001384,P018,58308.58,2024-07-19
H000333,C003333,P010,50000.0,2025-06-25
H000334,C003333,P017,34756.84,2025-06-03
H000335,C003333,P011,78649.16,2025-09-11
H000336,C002119,P013,10000.0,2025-06-11
H000337,C002119,P017,16747.36,2025-02-27
H000338,C004320,P012,41942.78,2025-07-21
H000339,C004320,P018,38048.41,2025-02-12
H000340,C001913,P009,50000.0,2024-07-24
H000341,C003685,P030,44428.23,2024-12-06
H000342,C007583,P011,12324.99,2024-12-17
H000343,C001741,P029,23777.91,2025-07-17
H000344,C001741,P029,14485.81,2025-04-16
H000345,C001741,P005,100000.0,2025-08-18
H000346,C005040,P017,42763.5,2025-06-16
H000347,C005040,P008,23777.08,2025-07-06
H000348,C005040,P003,50382.49,2025-09-14
H000349,C000928,P022,24385.61,2025-08-29
